Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment

U6         SOIC-8_3.9x4.9mm_Pitch1.27mm 26.900mm      12.700mm      26.900mm      12.700mm      24.995mm      10.000mm  T        90.000 UA9638
U7         SOT-23-6        39.975mm      55.779mm      39.975mm      55.779mm      39.025mm      54.679mm  T        90.000 LM2842Y
U8         SOT-23-5        39.500mm      47.500mm      39.500mm      47.500mm      40.600mm      46.550mm  T       180.000 LP3985IM5-5.0/NOPB
U9         HTSSOP-14-1EP_4.4x6.5mm_Pitch0 87.500mm      34.700mm      87.500mm      34.700mm      90.300mm      32.750mm  T       180.000 TPS1H100AQPWPRQ1
U10        SOIC-8_3.9x4.9mm_Pitch1.27mm 76.900mm       2.700mm      76.900mm       2.700mm      74.995mm       0.000mm  T        90.000 ISO7320FC
U11        SOIC-8_3.9x4.9mm_Pitch1.27mm 76.900mm      12.700mm      76.900mm      12.700mm      74.995mm      10.000mm  T        90.000 UA9638
U12        SOT-23-6        89.975mm      55.779mm      89.975mm      55.779mm      89.025mm      54.679mm  T        90.000 LM2842Y
U13        SOT-23-5        89.500mm      47.500mm      89.500mm      47.500mm      90.600mm      46.550mm  T       180.000 LP3985IM5-5.0/NOPB
U14        HTSSOP-14-1EP_4.4x6.5mm_Pitch0 62.500mm      34.700mm      62.500mm      34.700mm      65.300mm      32.750mm  T       180.000 TPS1H100AQPWPRQ1
U15        SOIC-8_3.9x4.9mm_Pitch1.27mm 51.900mm       2.700mm      51.900mm       2.700mm      49.995mm       0.000mm  T        90.000 ISO7320FC
U16        SOIC-8_3.9x4.9mm_Pitch1.27mm 51.900mm      12.700mm      51.900mm      12.700mm      49.995mm      10.000mm  T        90.000 UA9638
U17        SOT-23-6        64.975mm      55.779mm      64.975mm      55.779mm      64.025mm      54.679mm  T        90.000 LM2842Y
U18        SOT-23-5        64.500mm      47.500mm      64.500mm      47.500mm      65.600mm      46.550mm  T       180.000 LP3985IM5-5.0/NOPB
U19        HTSSOP-14-1EP_4.4x6.5mm_Pitch0 12.500mm      34.700mm      12.500mm      34.700mm      15.300mm      32.750mm  T       180.000 TPS1H100AQPWPRQ1
U20        SOIC-8_3.9x4.9mm_Pitch1.27mm 1.900mm       2.700mm       1.900mm       2.700mm      -0.005mm       0.000mm  T        90.000 ISO7320FC
U21        SOIC-8_3.9x4.9mm_Pitch1.27mm 1.900mm      12.700mm       1.900mm      12.700mm      -0.005mm      10.000mm  T        90.000 UA9638
U22        SOT-23-6        14.975mm      55.779mm      14.975mm      55.779mm      14.025mm      54.679mm  T        90.000 LM2842Y
U23        SOT-23-5        14.500mm      47.500mm      14.500mm      47.500mm      15.600mm      46.550mm  T       180.000 LP3985IM5-5.0/NOPB
Y1         Crystal_SMD_SeikoEpson_FA238-4 48.400mm     -17.450mm      48.400mm     -17.450mm      47.300mm     -18.250mm  T         0.000 16MHz
